MBID,AudioOpt,TRS,SPDIF,SPDIF_MB,Chipset,DAC
1,3,,,1,Realtek® ALC887,
2,3,,,1,Realtek® ALC887,
3,3,,,1,Realtek® ALC887,
4,3,,,1,Realtek® ALC887,
5,3,,,1,Realtek® ALC887,
6,3,,,1,Realtek® ALC887,
7,5,,1,,Realtek® S1220A,
8,3,,,1,Realtek® ALC887,
9,5,,1,,ROG SupremeFX S1220A,
10,5,,1,,ROG SupremeFX S1220,
11,5,,1,,ROG SupremeFX S1220,
12,5,,1,,ROG SupremeFX S1220A,
13,5,,1,,ROG SupremeFX S1220A,
14,5,,1,,ROG SupremeFX S1220A,
15,5,,1,,ROG SupremeFX S1220A,
16,5,,1,,ROG SupremeFX S1220A,
17,5,,1,,ROG SupremeFX S1220A,
18,5,,1,,ROG SupremeFX S1220A,
19,5,,1,,ROG SupremeFX S1220A,
20,5,,1,,ROG SupremeFX S1220A,
21,5,,1,,ROG SupremeFX S1220A,
22,5,,1,,ROG SupremeFX S1220A,
23,3,,,1,Realtek® ALC887,
24,3,,,1,Realtek® ALC887,
25,3,,,1,Realtek® ALC887,
26,3,,,1,Realtek® ALC887,
27,3,,,1,Realtek® ALC887,
28,3,,,1,Realtek® ALC887,
29,3,,,1,Realtek® ALC887,
30,3,,,1,Realtek® ALC887,
31,5,,1,,Realtek® ALC887,
32,3,,,1,Realtek® ALC887,
33,3,,,,Realtek® ALC887,
34,3,,,,Realtek® ALC887,
35,3,,,,Realtek® ALC887,
36,3,,,,Realtek® ALC887,
37,3,,,,Realtek® ALC887,
38,6,,,1,Realtek® ALC892,
39,6,,,1,Realtek® ALC892,
40,6,,,,Realtek® ALC892,
41,6,,,1,Realtek® ALC892,
42,6,,,1,Realtek® ALC892,
43,6,,,1,Realtek® ALC892,
44,3,,,,Realtek® ALC892,
45,3,,,1,Realtek® ALC887,
46,3,,,,Realtek® ALC887,
47,6,,,1,Realtek® ALC887,
48,6,,,1,Realtek® ALC887,
49,6,,,1,Realtek® ALC892,
50,3,,,1,Realtek® ALC1220-VB,
51,6,,,1,Realtek® ALC1220-VB,
52,5,,1,1,Realtek® ALC1220,ES9018Q2C
53,5,,1,1,Realtek® ALC1220,ES9018Q2C
54,5,,1,1,Realtek® ALC1220,
55,6,,,1,Realtek® ALC1220,
56,6,,,1,Realtek® ALC1220,
57,6,,,1,Realtek® ALC1220,
58,6,,,1,Realtek® ALC1220,
59,6,,,1,Realtek® ALC892,
60,3,,,1,Realtek® ALC887,
61,3,,,1,Realtek® ALC887,
62,6,,,1,Realtek® ALC892,
63,3,,,1,Realtek® ALC1220,
64,5,1,1,,Dual Realtek® ALC1220,ESS® ES9018
65,5,,1,,Realtek® ALC1220,
66,5,,1,,Realtek® ALC1220,
67,5,,1,,Realtek® ALC1220,
68,6,,,,Realtek® ALC892,
69,5,,1,,Realtek® ALC1220,
70,5,,1,,Realtek® ALC1220,
71,5,,1,,Realtek® ALC1220,
72,6,,,,Realtek® ALC892,
73,5,,1,,Realtek® ALC1220,
74,6,,,,Realtek® ALC892,
75,6,,,,Realtek® ALC892,
76,3,,,,Realtek® ALC887,
77,6,,,,Dual Realtek® ALC892,
78,3,,,,Dual Realtek® ALC887,
79,3,,,,Dual Realtek® ALC887,
80,5,,1,,Realtek® ALC892,
81,5,,1,,Realtek® ALC892,
82,3,,,,Realtek® ALC887,
83,5,,1,,Realtek® ALC892,
84,5,,1,,Realtek® ALC892,
85,3,,,,Realtek® ALC887,
86,5,,1,,Realtek® ALC1220,
87,3,,,,Realtek® ALC887,
88,6,,,,Realtek® ALC892,
89,6,,,,Realtek® ALC892,
90,3,,,,Realtek® ALC887,
91,3,,,,Realtek® ALC887,
92,3,,,,Realtek® ALC887,
93,3,,,,Realtek® ALC887,
94,3,,,,Realtek® ALC887,
95,3,,,,Realtek® ALC887,
96,3,,,,Realtek® ALC887,
97,3,,,,Realtek® ALC887,
98,3,,,,Realtek® ALC887,
99,3,,,,Realtek® ALC887,
100,3,,,,Realtek® ALC887,
101,3,,,,Realtek® ALC887,
102,3,,,,Realtek® ALC887,
103,3,,,,Realtek® ALC887,
