MBID,CPU_Opt,Sys_Fan,3ASys_Fan,AIO_Pump,W_Pump,M2_Fan
1,,1,,,,
2,,1,,,,
3,,1,,,,
4,,2,,,,
5,,2,,1,,
6,,1,,,,
7,1,2,,1,,1
8,,2,,1,,
9,1,6,,1,1,
10,1,3,,1,1,
11,1,3,,1,1,
12,1,2,,1,,1
13,,1,,1,,
14,1,2,,1,,1
15,,2,,1,,
16,1,2,,1,,
17,,1,,1,,
18,1,2,,1,,1
19,1,2,,1,,1
20,1,2,,,1,
21,1,2,,1,,
22,,1,,,,
23,,2,,1,,
24,,2,,,,
25,,1,,,,
26,,2,,1,,
27,,2,,1,,
28,,2,,,,
29,,1,,,,
30,,2,,1,1,
31,1,2,,1,,
32,,3,,,,
33,,1,,,,
34,,1,,,,
35,,1,,,,
36,,1,,,,
37,,1,,,,
38,,2,,1,1,
39,,2,,1,1,
40,,2,,,,
41,,3,,,,
42,,3,,,,
43,,3,,,,
44,,1,,,,
45,,2,,,,
46,,1,,,,
47,,2,,,,
48,,3,,,,
49,,3,,,,
50,,2,,,,
51,,2,,1,1,
52,,4,1,1,1,
53,,4,1,1,1,
54,,4,1,1,1,
55,,2,,1,1,
56,,2,,1,1,
57,,2,,1,1,
58,,3,,,,
59,,3,,,,
60,,3,,,,
61,,1,,,,
62,,3,,,,
63,,2,,,,
64,,8,,1,,
65,,4,,1,,
66,,4,,1,,
67,,4,,1,,
68,,4,,1,,
69,,3,,1,,
70,,1,,,,
71,,5,,1,,
72,,5,,1,,
73,,5,,1,,
74,,5,,1,,
75,,5,,1,,
76,,2,,,,
77,,2,,,,
78,,1,,,,
79,,1,,,,
80,,4,,1,,
81,,2,,1,,
82,,2,,,,
83,,3,,,,
84,,3,,,,
85,,2,,,,
86,,4,,1,,
87,,4,,1,,
88,,4,,1,,
89,,5,,1,,
90,,1,,,,
91,,2,,,,
92,,1,,,,
93,,1,,,,
94,,1,,,,
95,,1,,,,
96,,1,,,,
97,,1,,,,
98,,1,,,,
99,,1,,,,
100,,1,,,,
101,,1,,,,
102,,1,,,,
103,,1,,,,
