MBID,Thunderbolt,Altive_Headers,Heat_Sensers
1,,,
2,,,
3,,,
4,,,
5,,,1
6,,,
7,1,,1
8,,,
9,,4,2
10,,4,1
11,,5,1
12,,,1
13,,,
14,,,1
15,,,
16,,,1
17,,,1
18,,,1
19,,,1
20,,,1
21,,,
22,,,1
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,1,,
39,1,,
40,,,
41,,,
42,1,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,1,,
49,,,
50,,,
51,1,,
52,1,,2
53,1,,2
54,1,,2
55,1,,
56,1,,
57,1,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,3
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,1,,
73,,,
74,1,,
75,1,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,1,,
83,1,,
84,1,,
85,,,
86,,,
87,1,,
88,1,,
89,1,,
90,,,
91,1,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
