Lheads,RGB_Header,RGBW_Header,Digital_LED,5050JRGB_12V,5050JRGB_5V,WS2812B_RGB,CORSAIR_RGB,LED_header,MBID
,,,,,,,,,1
,,,,,,,,,2
,,,,,,,,,3
,,,,,,,,,4
,,,,,,,,,5
,,,,,,,,,6
1,1,,,,,,,,7
,,,,,,,,,8
4,4,,,,,,,,9
,,,,,,,,,10
2,2,,,,,,,,11
1,1,,,,,,,,12
,,,,,,,,,13
1,1,,,,,,,,14
1,1,,,,,,,,15
1,1,,,,,,,,16
,,,,,,,,,17
2,2,,,,,,,,18
2,2,,,,,,,,19
,,,,,,,,,20
,,,,,,,,,21
,,,,,,,,,22
1,1,,,,,,,,23
1,1,,,,,,,,24
1,1,,,,,,,,25
1,1,,,,,,,,26
1,1,,,,,,,,27
1,1,,,,,,,,28
1,1,,,,,,,,29
1,1,,,,,,,,30
,,,,,,,,,31
,,,,,,,,,32
,,,,,,,,,33
,,,,,,,,,34
1,1,,,,,,,,35
,,,,,,,,,36
,,,,,,,,,37
4,,2,2,,,,,,38
4,,2,2,,,,,,39
2,,1,1,,,,,,40
4,,2,2,,,,,,41
1,1,,,,,,,,42
1,1,,,,,,,,43
,,,,,,,,,44
1,1,,,,,,,,45
,,,,,,,,,46
1,1,,,,,,,,47
1,1,,,,,,,,48
1,1,,,,,,,,49
2,,1,1,,,,,,50
4,,2,2,,,,,,51
4,,2,2,,,,,,52
2,,,2,,,,,,53
4,,2,2,,,,,,54
4,,2,2,,,,,,55
4,,2,2,,,,,,56
1,1,,,,,,,,57
1,1,,,,,,,,58
1,1,,,,,,,,59
1,1,,,,,,,,60
,,,,,,,,,61
1,1,,,,,,,,62
2,,1,1,,,,,,63
2,,,,1,1,,,,64
1,1,,,,,,,,65
3,,,,1,,1,1,,66
1,1,,,,,,,,67
1,1,,,,,,,,68
1,1,,,,,,,,69
2,,,,1,,,1,,70
3,,,,1,,1,1,,71
1,,,,1,,,,,72
3,,,,1,,1,1,,73
1,,,,1,,,,,74
1,,,,1,,,,,75
1,1,,,,,,,,76
1,,,,1,,,,,77
1,,,,,,,,1,78
1,,,,,,,,1,79
1,1,,,,,,,,80
1,1,,,,,,,,81
1,1,,,,,,,,82
1,,,,1,,,,,83
1,,,,1,,,,,84
1,1,,,,,,,,85
,1,,,,,,,,86
,1,,,,,,,,87
,,,,,,,,,88
,,,,,,,,,89
,,,,,,,,,90
,,,,,,,,,91
,,,,,,,,,92
,,,,,,,,,93
,,,,,,,,,94
,,,,,,,,,95
,,,,,,,,1,96
,,,,,,,,,97
,,,,,,,,,98
,,,,,,,,,99
,,,,,,,,,100
,,,,,,,,,101
,,,,,,,,,102
,,,,,,,,,103
