Mslots,M2_1Sata,M2_2Sata,M2_3Sata,M2_1PCIE,M2_2PCIE,M2_3PCIE,M2_1PCIE2,MBID
1,1,,,2,,,,1
1,1,,,2,,,,2
1,1,,,2,,,,3
1,1,,,4,,,,4
2,1,,,4,4,,,5
1,1,,,4,,,,6
2,1,,,4,4,,,7
1,1,,,4,,,,8
2,,1,,4,4,,,9
2,1,,,4,4,,,10
2,1,,,4,4,,,11
2,1,,,2,4,,,12
2,1,,,4,4,,,13
2,1,,,2,4,,,14
2,,1,,4,2,,,15
2,1,,,2,4,,,16
2,1,,,4,4,,,17
2,,1,,4,4,,,18
2,1,,,4,4,,,19
2,1,,,4,4,,,20
2,1,,,4,4,,,21
2,1,,,4,4,,,22
2,1,,,2,4,,,23
1,1,,,2,,,,24
1,,,,,,,4,25
2,1,,,2,4,,,26
2,1,,,2,2,,,27
2,1,,,4,4,,,28
1,1,,,4,,,,29
2,1,1,,4,4,,,30
2,1,,,4,4,,,31
1,1,,,2,,,,32
,,,,,,,,33
,,,,,,,,34
1,1,,,4,,,,35
1,1,,,2,,,,36
1,1,,,2,,,,37
2,1,1,,4,2,,,38
2,1,1,,4,2,,,39
1,1,,,4,,,,40
2,,1,,4,2,,,41
2,1,1,,4,2,,,42
1,1,,,4,,,,43
1,1,,,4,,,,44
1,1,,,4,,,,45
1,1,,,4,,,,46
1,1,,,4,,,,47
2,,1,,4,2,,,48
2,1,,,2,4,,,49
2,1,,,4,4,,,50
2,,1,,4,2,,,51
2,1,,,4,4,,,52
2,1,,,4,4,,,53
2,1,,,4,4,,,54
2,1,,,4,4,,,55
2,1,,,4,4,,,56
2,1,,,4,4,,,57
2,1,,,4,4,,,58
1,1,,,4,,,,59
1,1,,,4,,,,60
1,1,,,4,,,,61
2,1,,,4,4,,,62
2,1,,,4,4,,,63
3,1,1,1,4,4,4,,64
2,1,1,,4,4,,,65
2,1,1,,4,4,,,66
2,1,1,,4,4,,,67
1,1,,,4,,,,68
2,1,1,,4,4,,,69
1,1,,,4,,,,70
2,1,,,4,4,,,71
1,1,,,4,,,,72
2,1,,,4,4,,,73
1,1,,,4,,,,74
1,1,,,4,,,,75
1,1,,,4,,,,76
1,1,,,4,,,,77
1,1,,,4,,,,78
1,1,,,4,,,,79
2,1,1,,4,4,,,80
2,,1,,4,4,,,81
1,1,,,4,,,,82
2,1,,,4,4,,,83
2,1,,,4,4,,,84
1,1,,,4,,,,85
2,1,1,,4,4,,,86
2,1,1,,4,4,,,87
1,1,,,4,,,,88
1,1,,,4,,,,89
,,,,,,,,90
1,1,,,4,,,,91
1,1,,,4,,,,92
1,1,,,4,,,,93
,,,,,,,,94
,,,,,,,,95
2,1,,,,,,4,96
,,,,,,,,97
,,,,,,,,98
,,,,,,,,99
,,,,,,,,100
,,,,,,,,101
,,,,,,,,102
1,1,,,4,,,,103
