Sata6G,U2,MBID
4,,1
4,,2
4,,3
4,,4
6,,5
6,,6
6,,7
4,,8
4,,9
6,,10
6,,11
6,,12
4,,13
6,,14
6,,15
6,,16
4,,17
6,,18
6,,19
6,,20
6,,21
4,,22
6,,23
4,,24
4,,25
6,,26
6,,27
6,,28
6,,29
6,,30
6,,31
4,,32
4,,33
4,,34
4,,35
4,,36
4,,37
6,,38
6,,39
4,,40
6,,41
6,,42
6,,43
6,,44
6,,45
4,,46
4,,47
6,,48
6,,49
4,,50
6,,51
6,,52
6,,53
6,,54
6,,55
6,,56
6,,57
6,,58
6,,59
6,,60
6,,61
6,,62
4,,63
6,1,64
6,,65
6,,66
6,,67
6,,68
4,,69
4,,70
6,,71
5,,72
6,,73
5,,74
5,,75
6,,76
4,,77
4,,78
4,,79
6,,80
4,,81
6,,82
4,,83
4,,84
6,,85
6,,86
6,,87
6,,88
5,,89
4,,90
6,,91
6,,92
6,,93
4,,94
4,,95
4,,96
4,,97
4,,98
4,,99
4,,100
4,,101
4,,102
4,,103
