MBID,USB2.0,"USB3.1
G1","USB3.1
G2","Type-C
Gen1","Type-C
Gen2","USB Mid-Board
2.0","USB Mid-Board
3.1g1","USB Mid-Board
3.1g2","Type-C
On Board
Gen1","Type-C
On Board
Gen2"
1,2,2,,,,2,1,,,
2,2,2,,,,2,1,,,
3,2,2,,,,2,1,,,
4,2,2,,,,1,1,,,
5,2,1,2,,,2,1,,,
6,2,2,2,,,2,1,,,
7,2,2,2,,1,2,2,,,
8,2,4,,,,2,2,,,
9,,6,2,,1,3,1,,,
10,4,4,2,,1,1,1,1,,
11,2,4,2,,1,2,1,1,,
12,4,0,3,,1,1,2,,,
13,,4,2,,1,1,1,,,
14,4,4,3,,1,1,1,,,
15,,2,4,,,2,1,,,
16,2,2,2,,,2,1,,,
17,2,2,2,1,,1,1,,,
18,2,1,2,,1,2,2,1,,
19,2,2,2,,1,2,2,,,
20,2,4,2,,,2,1,,,
21,2,4,2,,,2,2,,,
22,4,4,,,,1,1,1,,
23,2,3,2,1,,2,1,,,
24,2,2,,,,4,1,,,
25,4,2,,,,2,2,,,
26,2,3,2,1,,2,1,,,
27,4,2,2,,,1,1,,,
28,2,1,2,1,,2,1,,,
29,2,2,2,,,2,1,,,
30,2,3,2,1,,2,2,,,
31,2,4,2,,,2,2,,,
32,4,2,,,,1,1,,,
33,4,2,,,,1,1,,,
34,4,2,,,,1,1,,,
35,4,2,,,,1,1,,,
36,4,2,,,,1,1,,,
37,4,2,,,,1,1,,,
38,4,3,1,1,,1,1,,,
39,4,3,1,1,,1,1,,,
40,2,3,1,1,,1,1,,,
41,2,3,1,,,2,1,,,
42,2,3,1,,,2,1,,,
43,2,3,1,1,,2,1,,,
44,2,4,,,,2,1,,,
45,2,4,,,,2,1,,,
46,2,4,,,,2,1,,,
47,2,4,,,,1,1,,,
48,2,5,1,1,,2,1,,,
49,2,4,2,,1,2,1,,,
50,,5,,1,,1,1,,,
51,4,2,1,,1,2,2,,1,
52,,5,2,,1,2,1,,,1
53,,5,2,,1,2,1,1,,1
54,2,4,2,,1,2,1,,1,
55,2,4,2,,1,2,1,,1,
56,2,4,2,,1,2,2,,,
57,,6,2,,1,2,2,,,
58,2,4,2,,1,2,2,,1,
59,2,4,,,,2,2,,,
60,2,4,,,,2,1,,,
61,2,4,,,,2,1,,,
62,,7,,1,,2,1,,,
63,,7,,,1,1,1,,,
64,,6,2,,1,3,2,1,,
65,3,2,2,,1,2,1,,,
66,2,4,2,,1,2,2,,,
67,2,4,2,,1,2,2,,,
68,2,4,,,,2,2,,,
69,,4,2,,1,2,2,,,1
70,2,2,2,,1,1,1,,,
71,2,4,2,,1,2,2,1,,1
72,2,2,2,,1,2,2,,,
73,2,2,2,,1,2,1,1,,1
74,2,2,2,,1,2,1,,,
75,2,2,2,,1,2,1,,,
76,2,4,,1,,2,1,,,
77,2,2,2,,,1,1,,,
78,4,2,,,,1,1,,,
79,4,2,,,,1,1,,,
80,2,4,2,,1,2,1,,,
81,2,4,,,,2,2,,,
82,2,4,,1,,2,1,,,
83,4,0,2,,1,1,1,1,,1
84,4,0,2,,1,1,1,1,,1
85,2,4,,1,,2,1,,,
86,2,4,2,,1,2,2,,,
87,2,4,2,,1,4,1,,,
88,2,4,,,,2,2,,,
89,2,2,2,,1,2,1,,,
90,4,2,,,,1,1,,,
91,2,4,,1,,2,1,,,
92,2,4,,,,2,1,,,
93,2,4,,,,2,1,,,
94,4,2,,,,1,1,,,
95,4,2,,,,1,1,,,
96,4,2,,,,1,1,,,
97,4,2,,,,1,1,,,
98,4,2,,,,1,1,,,
99,4,2,,,,1,1,,,
100,4,2,,,,1,1,,,
101,4,2,,,,1,1,,,
102,4,2,,,,1,1,,,
103,3,2,,,,1,1,,,
