Chipset,MBID
Realtek ALC887,1
Realtek ALC887,2
Realtek ALC887,3
Realtek ALC887,4
Realtek ALC887,5
Realtek ALC887,6
Realtek S1220A,7
Realtek ALC887,8
ROG SupremeFX S1220A,9
ROG SupremeFX S1220,10
ROG SupremeFX S1220,11
ROG SupremeFX S1220A,12
ROG SupremeFX S1220A,13
ROG SupremeFX S1220A,14
ROG SupremeFX S1220A,15
ROG SupremeFX S1220A,16
ROG SupremeFX S1220A,17
ROG SupremeFX S1220A,18
ROG SupremeFX S1220A,19
ROG SupremeFX S1220A,20
ROG SupremeFX S1220A,21
ROG SupremeFX S1220A,22
Realtek ALC887,23
Realtek ALC887,24
Realtek ALC887,25
Realtek ALC887,26
Realtek ALC887,27
Realtek ALC887,28
Realtek ALC887,29
Realtek ALC887,30
Realtek ALC887,31
Realtek ALC887,32
Realtek ALC887,33
Realtek ALC887,34
Realtek ALC887,35
Realtek ALC887,36
Realtek ALC887,37
Realtek ALC892,38
Realtek ALC892,39
Realtek ALC892,40
Realtek ALC892,41
Realtek ALC892,42
Realtek ALC892,43
Realtek ALC892,44
Realtek ALC887,45
Realtek ALC887,46
Realtek ALC887,47
Realtek ALC887,48
Realtek ALC892,49
Realtek ALC1220-VB,50
Realtek ALC1220-VB,51
Realtek ALC1220,52
Realtek ALC1220,53
Realtek ALC1220,54
Realtek ALC1220,55
Realtek ALC1220,56
Realtek ALC1220,57
Realtek ALC1220,58
Realtek ALC892,59
Realtek ALC887,60
Realtek ALC887,61
Realtek ALC892,62
Realtek ALC1220,63
Dual Realtek ALC1220,64
Realtek ALC1220,65
Realtek ALC1220,66
Realtek ALC1220,67
Realtek ALC892,68
Realtek ALC1220,69
Realtek ALC1220,70
Realtek ALC1220,71
Realtek ALC892,72
Realtek ALC1220,73
Realtek ALC892,74
Realtek ALC892,75
Realtek ALC887,76
Dual Realtek ALC892,77
Dual Realtek ALC887,78
Dual Realtek ALC887,79
Realtek ALC892,80
Realtek ALC892,81
Realtek ALC887,82
Realtek ALC892,83
Realtek ALC892,84
Realtek ALC887,85
Realtek ALC1220,86
Realtek ALC887,87
Realtek ALC892,88
Realtek ALC892,89
Realtek ALC887,90
Realtek ALC887,91
Realtek ALC887,92
Realtek ALC887,93
Realtek ALC887,94
Realtek ALC887,95
Realtek ALC887,96
Realtek ALC887,97
Realtek ALC887,98
Realtek ALC887,99
Realtek ALC887,100
Realtek ALC887,101
Realtek ALC887,102
Realtek ALC887,103
