AudioOpt,TRS,SPDIF,SPDIF_MB,DAC,MBID
3,,,1,,1
3,,,1,,2
3,,,1,,3
3,,,1,,4
3,,,1,,5
3,,,1,,6
5,,1,,,7
3,,,1,,8
5,,1,,,9
5,,1,,,10
5,,1,,,11
5,,1,,,12
5,,1,,,13
5,,1,,,14
5,,1,,,15
5,,1,,,16
5,,1,,,17
5,,1,,,18
5,,1,,,19
5,,1,,,20
5,,1,,,21
5,,1,,,22
3,,,1,,23
3,,,1,,24
3,,,1,,25
3,,,1,,26
3,,,1,,27
3,,,1,,28
3,,,1,,29
3,,,1,,30
5,,1,,,31
3,,,1,,32
3,,,,,33
3,,,,,34
3,,,,,35
3,,,,,36
3,,,,,37
6,,,1,,38
6,,,1,,39
6,,,,,40
6,,,1,,41
6,,,1,,42
6,,,1,,43
3,,,,,44
3,,,1,,45
3,,,,,46
6,,,1,,47
6,,,1,,48
6,,,1,,49
3,,,1,,50
6,,,1,,51
5,,1,1,ES9018Q2C,52
5,,1,1,ES9018Q2C,53
5,,1,1,,54
6,,,1,,55
6,,,1,,56
6,,,1,,57
6,,,1,,58
6,,,1,,59
3,,,1,,60
3,,,1,,61
6,,,1,,62
3,,,1,,63
5,1,1,,ESS ES9018,64
5,,1,,,65
5,,1,,,66
5,,1,,,67
6,,,,,68
5,,1,,,69
5,,1,,,70
5,,1,,,71
6,,,,,72
5,,1,,,73
6,,,,,74
6,,,,,75
3,,,,,76
6,,,,,77
3,,,,,78
3,,,,,79
5,,1,,,80
5,,1,,,81
3,,,,,82
5,,1,,,83
5,,1,,,84
3,,,,,85
5,,1,,,86
3,,,,,87
6,,,,,88
6,,,,,89
3,,,,,90
3,,,,,91
3,,,,,92
3,,,,,93
3,,,,,94
3,,,,,95
3,,,,,96
3,,,,,97
3,,,,,98
3,,,,,99
3,,,,,100
3,,,,,101
3,,,,,102
3,,,,,103
