MBID,RJ45,Ethernet_Lan1,Ethernet_Lan2,Ethernet_Lan3
1,1,Realtek RTL8111H,,
2,1,Realtek RTL8111H,,
3,1,Realtek RTL8111H,,
4,1,Realtek RTL8111H,,
5,1,Realtek RTL8111H,,
6,1,Realtek RTL8111H,,
7,1,Intel I219V,,
8,1,Realtek RTL8111H,,
9,2,Intel I219V,,
10,1,Intel I219V,,
11,1,Intel I219V,,
12,1,Intel I219V,,
13,2,Intel I219V,,
14,1,Intel I219V,,
15,1,Intel I219V,,
16,1,Intel I219V,,
17,1,Intel I219V,,
18,1,Intel I219V,,
19,1,Intel I219V,,
20,1,Intel I219V,,
21,1,Intel I219V,,
22,1,Intel I219V,,
23,1,Intel I219V,,
24,1,Intel I219V,,
25,1,Intel I219V,,
26,1,Intel I219V,,
27,1,Intel I219V,,
28,1,Intel I219V,,
29,1,Intel I219V,,
30,1,Intel I219V,,
31,1,Intel I219V,,
32,1,Intel GbE,,
33,1,Intel GbE,,
34,1,Intel GbE,,
35,1,Intel GbE,,
36,1,Intel GbE,,
37,1,Intel GbE,,
38,1,Intel GbE,,
39,1,Intel GbE,,
40,1,Intel GbE,,
41,1,Intel GbE,,
42,1,Intel GbE,,
43,1,Intel GbE,,
44,1,Intel GbE,,
45,1,Intel GbE,,
46,1,Intel GbE,,
47,2,Intel GbE,Intel GbE,
48,1,Intel GbE,,
49,1,Intel GbE,,
50,2,Intel GbE,Intel GbE,
51,1,Intel GbE,,
52,2,Intel GbE,Killer E2500,
53,2,Intel GbE,Killer E2500,
54,1,Intel GbE,,
55,1,Killer E2500 ,,
56,1,Intel GbE,,
57,1,Intel GbE,,
58,1,Intel GbE,,
59,1,Intel GbE,,
60,1,Intel GbE,,
61,1,Intel GbE,,
62,1,Intel GbE,,
63,2,Intel GbE,Intel GbE,
64,3,Killer E2500,Killer E2500,Killer E2500
65,1,Killer E2500,,
66,1,Intel I219-V ,,
67,1,Intel I219-V ,,
68,1,Intel I219-V ,,
69,1,Intel I219-V ,,
70,1,Intel I219-V ,,
71,1,Intel I219-V ,,
72,1,Intel I219-V ,,
73,1,Intel I219-V ,,
74,1,Intel I219-V ,,
75,1,Intel I219-V ,,
76,1,Intel I219-V ,,
77,1,Realtek RTL8111H-C,,
78,1,Intel I219-V,,
79,1,Intel I219-V,,
80,1,Intel I219-V,,
81,1,Intel I219-V,,
82,1,Realtek RTL8111H,,
83,1,Intel I219-V,,
84,1,Intel I219-V,,
85,1,Realtek RTL8111H,,
86,1,Intel I219-V,,
87,1,Intel I219-V,,
88,1,Realtek RTL8111H,,
89,1,Intel I219-V,,
90,1,Intel I219-V,,
91,1,Realtek RTL8111H,,
92,1,Realtek RTL8111H,,
93,1,Realtek RTL8111H,,
94,1,Intel I219-V,,
95,1,Intel I219-V,,
96,1,Intel I219-V,,
97,1,Realtek RTL8111H,,
98,1,Realtek RTL8111H,,
99,1,Realtek RTL8111H,,
100,1,Realtek RTL8111H,,
101,1,Realtek RTL8111H,,
102,1,Realtek RTL8111H,,
103,1,Realtek RTL8111H,,
