Vports,Dvi,HDMI,DP,Dsub,MBID
3,1,1,,1,1
2,,1,,1,2
2,1,,,1,3
3,1,1,,1,4
3,1,1,,1,5
2,1,,,1,6
3,1,1,1,,7
2,1,1,,,8
1,,1,,,9
2,,1,1,,10
2,,1,1,,11
3,1,1,1,,12
2,,1,1,,13
3,1,1,1,,14
2,1,1,,,15
2,1,1,,,16
2,,1,1,,17
3,1,1,1,,18
3,1,1,1,,19
2,,1,1,,20
2,1,1,,,21
2,,1,1,,22
3,,1,1,1,23
2,,1,,1,24
2,1,1,,,25
3,,1,1,1,26
2,,1,,1,27
2,1,1,,,28
2,1,1,,,29
2,1,1,,,30
2,1,1,,,31
2,,1,,1,32
1,,,,1,33
2,,1,,1,34
2,,1,1,,35
3,1,1,,1,36
3,1,1,,1,37
2,1,1,,,38
2,1,1,,,39
2,,1,1,,40
2,1,1,,,41
3,1,1,,1,42
4,1,1,1,1,43
2,1,,,1,44
3,1,1,,1,45
2,,1,,1,46
2,,2,,,47
3,1,1,,1,48
3,1,1,,1,49
2,,1,1,,50
2,1,1,,,51
2,,1,1,,52
2,,1,1,,53
2,,1,1,,54
1,,1,,,55
2,1,1,,,56
1,,1,,,57
3,1,1,,1,58
2,1,1,,,59
1,,1,,,60
2,1,1,,,61
2,1,1,,,62
3,,2,1,,63
0,,,,,64
2,,1,1,,65
2,,1,1,,66
2,1,1,,,67
3,1,,1,1,68
2,,1,1,,69
2,,1,1,,70
2,,1,1,,71
2,1,,1,,72
2,,1,1,,73
2,1,,1,,74
2,1,,1,,75
3,1,1,,1,76
2,1,,1,,77
2,1,1,,,78
2,1,1,,,79
2,1,1,,,80
0,,,,,81
2,1,1,,,82
3,1,1,1,,83
3,1,1,1,,84
2,1,1,,,85
2,1,1,,,86
3,1,1,,1,87
3,1,,1,1,88
2,1,,1,,89
2,1,1,,,90
3,1,1,,1,91
2,,1,,1,92
2,1,,,1,93
2,1,1,,,94
2,1,1,,,95
3,1,1,,1,96
3,1,1,,1,97
2,,1,,1,98
2,,1,,1,99
2,1,1,,,100
1,,,,1,101
1,1,,,,102
2,1,,1,,103
