Rslots,Maxfreq,MBID
2,2666,1
2,2666,2
2,2666,3
2,2666,4
4,2666,5
2,2666,6
4,4000,7
4,4000,8
2,4000,9
4,4133,10
4,4133,11
4,2666,12
2,2666,13
4,2666,14
4,2666,15
4,2666,16
2,2666,17
4,4000,18
4,4000,19
4,4000,20
4,4000,21
2,4333,22
4,2666,23
2,2666,24
2,2666,25
4,2666,26
4,2666,27
4,2666,28
2,2666,29
4,4000,30
4,4000,31
2,2666,32
2,2666,33
2,2666,34
2,2666,35
2,2666,36
2,2666,37
4,2666,38
4,2666,39
2,2666,40
4,2666,41
4,2666,42
4,2666,43
2,2666,44
4,2666,45
2,2666,46
2,2666,47
4,2666,48
4,2666,49
2,2666,50
4,2666,51
4,4133,52
4,4133,53
4,4133,54
4,4000,55
4,4000,56
4,4000,57
4,4000,58
4,4000,59
4,4000,60
4,3866,61
4,4000,62
2,4400,63
4,4133,64
4,4000,65
4,4000,66
4,4000,67
4,4000,68
4,4000,69
2,4500,70
4,2666,71
4,2666,72
4,2666,73
4,2666,74
4,2666,75
2,2666,76
4,2666,77
2,2666,78
2,2666,79
4,4000,80
4,4000,81
4,2666,82
4,2666,83
4,2666,84
4,2666,85
4,4000,86
4,4000,87
4,4000,88
4,2666,89
2,2666,90
4,2666,91
2,2666,92
2,2666,93
2,2666,94
2,2666,95
2,2666,96
2,2666,97
2,2666,98
2,2666,99
2,2666,100
2,2666,101
2,2666,102
2,2666,103
